"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"15001",-8.61620977,52.6453053,"4c07d11e-2ecd-851d-e053-ca3ca8c0ca7f",24580.2017304599,"Limerick City and County","128032003","Rathbane"
"15002",-8.62828118,52.64753125,"4c07d11e-2ece-851d-e053-ca3ca8c0ca7f",41568.4221780449,"Limerick City and County","128006001","Ballinacurra B"
"15003",-8.62083679,52.64998348,"4c07d11e-2ecf-851d-e053-ca3ca8c0ca7f",26018.8242432177,"Limerick City and County","128022004","Glentworth B"
"15004",-8.62835158,52.65132064,"4c07d11e-2edb-851d-e053-ca3ca8c0ca7f",32010.3841747195,"Limerick City and County","128031002","Prospect B"
"15005",-8.47394715,51.88313968,"4c07d11e-24cf-851d-e053-ca3ca8c0ca7f",28672.7214979827,"Cork City","048004002","Ballyphehane A"
"15006",-8.46885719,51.88422633,"4c07d11e-24d0-851d-e053-ca3ca8c0ca7f",31526.5701345205,"Cork City","048073002/02","Turners Cross C"
"15007",-8.4734426,51.89958225,"4c07d11e-254d-851d-e053-ca3ca8c0ca7f",80723.5766003914,"Cork City","048015006","Centre B"
"15008",-8.45903165,51.89288876,"4c07d11e-255c-851d-e053-ca3ca8c0ca7f",39271.9986189157,"Cork City","048018001","City Hall B"
"15009",-8.46035666,51.89617727,"4c07d11e-255d-851d-e053-ca3ca8c0ca7f",16036.2812567055,"Cork City","048018004","City Hall B"
"15010",-8.45605459,51.89247137,"4c07d11e-256a-851d-e053-ca3ca8c0ca7f",46727.6122399643,"Cork City","048018002","City Hall B"
"15011",-8.45330163,51.89476776,"4c07d11e-256b-851d-e053-ca3ca8c0ca7f",29006.7327216268,"Cork City","048041003","Knockrea B"
"15012",-8.4434805,51.88512306,"4c07d11e-256c-851d-e053-ca3ca8c0ca7f",35899.6061207429,"Cork City","048013001","Browningstown"
"15013",-8.4497344,51.88866538,"4c07d11e-2577-851d-e053-ca3ca8c0ca7f",55542.1511355042,"Cork City","048002002","Ballinlough B"
"15014",-8.44369001,51.88805202,"4c07d11e-2578-851d-e053-ca3ca8c0ca7f",31227.8524432704,"Cork City","048002006","Ballinlough B"
"15015",-8.44934332,51.89160777,"4c07d11e-2579-851d-e053-ca3ca8c0ca7f",18617.0457766349,"Cork City","048040003","Knockrea A"
"15016",-8.4058538,51.86847953,"4c07d11e-2533-851d-e053-ca3ca8c0ca7f",42520.951521486,"Cork County","047132009","Douglas"
"15017",-8.43072087,51.88701244,"4c07d11e-257a-851d-e053-ca3ca8c0ca7f",69288.254861325,"Cork City","048044001","Mahon C"
"15018",-8.4448965,51.89255703,"4c07d11e-2492-851d-e053-ca3ca8c0ca7f",100203.274518262,"Cork City","048040005","Knockrea A"
"15019",-8.42699553,51.89209448,"4c07d11e-2493-851d-e053-ca3ca8c0ca7f",57298.3543727398,"Cork City","048044006","Mahon C"
